,,,,,,,,
No.,Database,Dataset,Download Link,Ref.,Remarks,,Experiment type,Race
10,Geo,GSE213001,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213001,PMID: 36299365,14 Ctr vs 29 IPF,"Ctr: ALF009, ALF010, ALF012, ALF013, ALF017, ALF020, ALF024, ALF025, ALF026, ALF030, ALF034, ALF044, ALF049, ALF050
IPF: ALF001, ALF008, ALF015, ALF016, ALF018, ALF019, ALF023, ALF027, ALF028, ALF029, ALF032, ALF035, ALF037, ALF038, ALF039, ALF040, ALF041, ALF043, ALF045, ALF047","Bulk-RNA seq, raw counts",Australoid
11,Geo,GSE128033,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128033,PMID: 37566492,10 Ctr vs 8 IPF,"Ctr: GSM3660641-GSM3660650
IPF: GSM3660651-GSM3660658","Sc-RNA seq, raw conuts",Caucasians
12,Geo,GSE94555,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94555,PMID: 37566492,3 Ctr vs 3 IPF (AT2),"Ctr: GSM2478112-GSM2478114
IPF: GSM2478109-GSM2478111","Sc-RNA seq, read conuts",Caucasians
13,Geo,GSE122960,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122960,PMID: 30554520,13 Ctr vs 4 IPF,"Ctr: GSM3489182, GSM3489185, GSM3489186, GSM3489187, GSM3489189, GSM3489191, GSM3489193, GSM3489194, GSM3489195, GSM3489196, GSM3489197, GSM3489198
IPF: GSM3489183, GSM3489184, GSM3489188, GSM3489190","Sc-RNA seq, raw conuts",Caucasians
14,Geo,GSE195770,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195770,,2 Ctr vs 2 IPF,"Ctr: GSM5849919-GSM5849922
IPF: GSM5849923-GSM5849926","Sc-RNA seq, raw conuts",Nordic race
15,Geo,GSE135893,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135893,PMID: 32832598,9 Ctr vs 21 IPF,"Ctr: GSM4037301,GSM4037302,GSM4037305,GSM4037306,GSM4037313,GSM4037316,GSM4037323,GSM4037324,GSM4037325
IPF:GSM4037299,GSM4037300,GSM4037303,GSM4037304,GSM4037307,GSM4037308,GSM4037310,GSM4037311,GSM4037314,GSM4037315,GSM4037317,GSM4037318,GSM4037319,GSM4037320,GSM4037321,GSM4037322,GSM4037326,GSM4037327,GSM4037328,GSM4037329,GSM4037330","Sc-RNA seq, metadata",70% European
16,Geo,GSE190889,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190889,PMID: 35604813,3 Ctr vs 3 IPF,"Ctr: GSM5733429-GSM5733431
IPF: GSM5733432-GSM5733434","Sc-RNA seq, raw conuts",Jewish
17,scMoresDB,,https://www.liwzlab.cn/scmoresdb/#/Home,,,,,
18,The Idiopathic Pulmonary Fibrosis Cell Atlas,,https://www.ipfcellatlas.com/,,,,,
19,dbGaP Advanced Search,,https://dbgap.ncbi.nlm.nih.gov/beta/search/?OBJ=study&TERM=chronic+obstructive+pulmonary+disease,,phs000179，phs001662，phs000951,,,
